Region,Country,Indicator,Value,gdp_per_capita
Latin America & Caribbean,Nicaragua,imports_per_capita,1206.118933,1912.903745
 Africa,Niger,imports_per_capita,102.6701595,554.6009687
 Africa,Nigeria,imports_per_capita,247.5468213,2229.858696
Europe,North Macedonia,imports_per_capita,4545.895264,6093.14769
Europe,Norway,imports_per_capita,15681.40948,75419.63487
Middle East & North Africa,Oman,imports_per_capita,4648.764174,15474.03248
Asia,Pakistan,imports_per_capita,228.4506561,1284.702041
Pacific,Palau,imports_per_capita,8732.176412,15859.43486
Latin America & Caribbean,Panama,imports_per_capita,5149.756638,15731.01603
Pacific,Papua New Guinea,imports_per_capita,340.8954754,2845.180186
Latin America & Caribbean,Paraguay,imports_per_capita,1758.70076,5414.799138
Latin America & Caribbean,Peru,imports_per_capita,1281.690135,6977.695784
Asia,Philippines,imports_per_capita,1029.644005,3485.084218
Europe,Poland,imports_per_capita,6922.622477,15595.22703
Europe,Portugal,imports_per_capita,8818.89441,23145.04082
Middle East & North Africa,Qatar,imports_per_capita,10880.95221,64781.7332
Europe,Romania,imports_per_capita,5017.774742,12919.52964
Europe,Russia,imports_per_capita,1740.863649,11584.99538
 Africa,Rwanda,imports_per_capita,208.7287289,801.656187
 Africa,S. Sudan,imports_per_capita,72.45130642,1119.651333
Latin America & Caribbean,Saint Kitts and Nevis,imports_per_capita,6297.110848,19896.4957
Latin America & Caribbean,Saint Vincent and the Grenadines,imports_per_capita,2839.372634,7463.537831
Middle East & North Africa,Saudi Arabia,imports_per_capita,4075.700171,23139.79866
 Africa,Senegal,imports_per_capita,486.3315517,1446.830965
Europe,Serbia,imports_per_capita,2511.876856,7402.354559
 Africa,Seychelles,imports_per_capita,11067.95327,17401.72151
 Africa,Sierra Leone,imports_per_capita,191.7642297,504.4625434
Asia,Singapore,imports_per_capita,61409.35009,65233.28244
Europe,Slovakia,imports_per_capita,16493.48071,19329.0968
Europe,Slovenia,imports_per_capita,21146.51808,25739.24781
Pacific,Solomon Islands,imports_per_capita,829.8344407,2127.538508
 Africa,Somalia,imports_per_capita,197.4615342,126.9249205
 Africa,South Africa,imports_per_capita,1813.214893,31761.97769
Asia,South Korea,imports_per_capita,9817.649725,6001.400814
Europe,Spain,imports_per_capita,7954.881103,29613.67114
Asia,Sri Lanka,imports_per_capita,926.8140486,3853.083693
 Africa,Sudan,imports_per_capita,141.8746861,441.5056034
Latin America & Caribbean,Suriname,imports_per_capita,3102.456054,6854.906561
 Africa,Swaziland,imports_per_capita,1555.985915,3837.026994
Europe,Sweden,imports_per_capita,15713.06427,51610.06606
Europe,Switzerland,imports_per_capita,32006.13499,81993.72715
Middle East & North Africa,Syria,imports_per_capita,279.9894724,2032.623489
Asia,Taiwan,imports_per_capita,12057.20338,26910
Asia,Tajikistan,imports_per_capita,335.5125925,870.7875893
 Africa,Tanzania,imports_per_capita,150.4213213,1122.12181
Asia,Thailand,imports_per_capita,3390.257516,7808.192916
 Africa,The Gambia,imports_per_capita,256.0964104,751.2946884
Asia,Timor-Leste,imports_per_capita,447.9519434,1294.188934
 Africa,Togo,imports_per_capita,271.9742801,675.5422133
Pacific,Tonga,imports_per_capita,2270.684517,4364.015561
Middle East & North Africa,Tunisia,imports_per_capita,1823.800226,3317.541013
Asia,Turkey,imports_per_capita,2494.062449,9042.492983
Asia,Turkmenistan,imports_per_capita,497.4134501,6966.635411
 Africa,Uganda,imports_per_capita,163.4375911,776.7685759
Europe,Ukraine,imports_per_capita,1385.817209,3659.031312
Middle East & North Africa,United Arab Emirates,imports_per_capita,26480.76388,43103.32306
Europe,United Kingdom,imports_per_capita,10190.61939,42300.26713
North America,United States of America,imports_per_capita,7759.475316,65118.35833
Latin America & Caribbean,Uruguay,imports_per_capita,2373.759619,16190.12696
Asia,Uzbekistan,imports_per_capita,687.1989154,1724.841134
Pacific,Vanuatu,imports_per_capita,944.1794592,3058.065675
Latin America & Caribbean,Venezuela,imports_per_capita,205.3739036,16054.49051
Asia,Vietnam,imports_per_capita,2608.447777,2715.276036
 Africa,Zambia,imports_per_capita,392.8044863,1291.343357
 Africa,Zimbabwe,imports_per_capita,235.4852921,1463.98591
Asia,Afghanistan,trade_openness,45.62117712,502.1154869
Europe,Albania,trade_openness,76.72829956,5352.857411
Middle East & North Africa,Algeria,trade_openness,52.04477457,3948.343279
Pacific,Andorra,trade_openness,168.2389937,11466.69071
 Africa,Angola,trade_openness,66.37801194,2973.59116
Latin America & Caribbean,Antigua and Barbuda,trade_openness,90.18543202,17790.30931
Latin America & Caribbean,Argentina,trade_openness,32.39366596,10006.14897
Asia,Armenia,trade_openness,91.43228557,4622.733493
Latin America & Caribbean,Australia,trade_openness,144.9643575,54907.10191
Pacific,Austria,trade_openness,45.6862153,50277.27509
Europe,Azerbaijan,trade_openness,107.7247034,4793.58702
Asia,Bahamas,trade_openness,86.04387801,32933.48601
Middle East & North Africa,Bahrain,trade_openness,151.4048543,23503.97713
Asia,Bangladesh,trade_openness,36.75929975,1855.739824
Latin America & Caribbean,Barbados,trade_openness,83.69167115,18148.24493
Europe,Belarus,trade_openness,133.3459895,6663.295293
Europe,Belgium,trade_openness,163.2932215,46116.69923
Latin America & Caribbean,Belize,trade_openness,115.710072,4815.163711
 Africa,Benin,trade_openness,63.68133231,1219.432672
Asia,Bhutan,trade_openness,86.71171549,3243.231126
Latin America & Caribbean,Bolivia,trade_openness,56.39730664,3552.068762
Europe,Bosnia and Herz.,trade_openness,95.88061828,6073.265203
