Region,Country,GDP per capita,Indicator,Exports
Europe,Cyprus,27858.371,Trade Openness,142.6429574
Europe,Czech Republic,23101.7777,Trade Openness,144.8764656
Europe,Denmark,59822.09296,Trade Openness,105.0016824
Middle East & North Africa,Djibouti,3408.846254,Trade Openness,298.2662868
Latin America & Caribbean,Dominica,8300.375074,Trade Openness,139.7866015
Latin America & Caribbean,Dominican Republic,8282.116222,Trade Openness,52.96040208
Latin America & Caribbean,Ecuador,6183.823825,Trade Openness,46.7399136
Middle East & North Africa,"Egypt, Arab Rep.",3020.03135,Trade Openness,48.27827106
Latin America & Caribbean,El Salvador,4187.250031,Trade Openness,77.17887668
 Africa,Equatorial Guinea,8131.923888,Trade Openness,107.381315
 Africa,Eritrea,642.5076591,Trade Openness,47.39379012
Europe,Estonia,23659.87229,Trade Openness,141.1541653
 Africa,Eswatini,3837.026994,Trade Openness,84.41334136
 Africa,Ethiopia,857.501351,Trade Openness,28.74202171
Europe,Finland,48685.85399,Trade Openness,79.46667333
Europe,France,40493.92857,Trade Openness,64.52272903
 Africa,Gabon,7667.366861,Trade Openness,72.93915874
 Africa,"Gambia, The",751.2946884,Trade Openness,65.48444814
Asia,Georgia,4769.186543,Trade Openness,116.8684915
Europe,Germany,46258.87829,Trade Openness,88.09866064
 Africa,Ghana,2202.115567,Trade Openness,71.37819082
Europe,Greece,19582.53601,Trade Openness,74.38446677
Europe,Greenland,54470.95639,Trade Openness,85.84936014
Latin America & Caribbean,Grenada,10965.51316,Trade Openness,110.0475655
Latin America & Caribbean,Guatemala,4619.987097,Trade Openness,45.86557829
 Africa,Guinea,1064.131237,Trade Openness,108.7208264
 Africa,Guinea-Bissau,697.7844029,Trade Openness,57.00855585
Latin America & Caribbean,Guyana,5468.356629,Trade Openness,79.08176442
Latin America & Caribbean,Haiti,754.5879177,Trade Openness,74.30851404
Latin America & Caribbean,Honduras,2574.912191,Trade Openness,96.61335126
Asia,"Hong Kong SAR, China",48755.83508,Trade Openness,352.8222341
Europe,Hungary,16475.74184,Trade Openness,162.9805419
Europe,Iceland,66944.82551,Trade Openness,85.91667594
Asia,India,2104.1459,Trade Openness,40.01853711
Asia,Indonesia,4135.569263,Trade Openness,37.30339786
